Class,F1,F2
3,5,17
3,36,35
9,28,39
4,28,26
4,34,34
0,30,27
10,36,30
7,33,29
6,33,27
0,35,33
0,53,65
7,56,46
10,48,60
7,55,46
2,64,57
3,18,10
8,0,6
5,19,11
7,38,37
9,60,57
1,57,63
5,2,18
10,9,6
9,4,17
6,9,10
8,45,61
7,0,3
4,36,40
10,30,28
1,3,1
7,34,31
6,51,45
0,50,52
4,16,3
1,19,9
5,3,5
4,0,18
1,28,33
2,35,30
3,27,25
7,32,35
3,36,33
9,60,61
10,51,61
8,6,18
6,20,2
10,47,62
0,64,52
5,51,62
3,53,47
4,46,62
9,13,16
8,20,5
9,39,27
7,59,49
6,60,63
9,2,3
6,40,35
10,34,27
4,57,64
4,58,49
